Id,Age,Income,Home,Emp_length,Intent,Amount,Rate,Status,Percent_income,Default,Cred_length
17119,22,39000,MORTGAGE,6.0,EDUCATION,10750,,0,0.28,N,4
30844,44,67000,MORTGAGE,28.0,HOMEIMPROVEMENT,3000,,0,0.04,N,14
30436,41,43000,RENT,0.0,VENTURE,7000,7.43,0,0.16,N,13
75,26,12000,OWN,2.0,EDUCATION,6100,7.51,1,0.51,N,3
4,24,54400,RENT,8.0,MEDICAL,35000,14.27,1,0.55,Y,4
29750,40,30000,RENT,2.0,VENTURE,10625,,1,0.35,N,17
14223,24,102000,MORTGAGE,5.0,MEDICAL,12000,15.27,0,0.12,N,3
1108,21,24960,MORTGAGE,0.0,PERSONAL,2000,13.99,0,0.08,Y,3
7891,25,46000,RENT,9.0,MEDICAL,7000,8.49,0,0.15,N,3
16469,23,65000,RENT,0.0,MEDICAL,6000,9.63,0,0.09,N,3
2209,23,30873,MORTGAGE,8.0,EDUCATION,4200,10.99,0,0.14,N,4
26821,30,43000,RENT,3.0,VENTURE,15000,,1,0.35,N,8
24392,30,50000,RENT,6.0,MEDICAL,10000,,0,0.2,N,5
2386,23,51873,RENT,2.0,VENTURE,2500,,0,0.05,N,3
21595,29,36000,RENT,4.0,EDUCATION,6000,5.99,0,0.17,N,6
748,23,61200,RENT,4.0,MEDICAL,20000,11.14,1,0.28,N,2
14560,22,110000,MORTGAGE,6.0,PERSONAL,2800,8.49,0,0.03,N,4
22822,31,58000,MORTGAGE,15.0,HOMEIMPROVEMENT,6000,9.32,0,0.1,N,5
4825,22,35000,RENT,3.0,DEBTCONSOLIDATION,5000,7.88,0,0.14,N,3
13906,24,98000,MORTGAGE,8.0,PERSONAL,6500,11.11,0,0.07,N,3
22289,29,96000,RENT,3.0,HOMEIMPROVEMENT,6400,11.49,0,0.07,N,8
23982,27,31200,RENT,4.0,MEDICAL,10000,8.0,1,0.32,N,9
5937,22,32000,RENT,3.0,DEBTCONSOLIDATION,5600,7.9,0,0.17,N,3
16723,25,90000,MORTGAGE,9.0,VENTURE,20000,6.54,0,0.22,N,3
10902,24,70000,MORTGAGE,2.0,PERSONAL,12000,17.56,0,0.17,Y,3
1261,24,50000,RENT,6.0,HOMEIMPROVEMENT,16000,13.99,1,0.32,Y,2
2359,25,32000,MORTGAGE,8.0,DEBTCONSOLIDATION,5600,7.9,0,0.17,N,3
1599,23,40000,RENT,7.0,VENTURE,1500,13.99,0,0.04,Y,2
14183,25,100505,OWN,9.0,HOMEIMPROVEMENT,35000,11.99,0,0.35,N,3
12551,23,60000,RENT,2.0,EDUCATION,12000,,0,0.2,N,3
476,22,66960,RENT,1.0,VENTURE,23400,7.49,1,0.35,N,2
14234,23,58977,RENT,7.0,DEBTCONSOLIDATION,14400,,0,0.24,N,4
10301,24,94837,RENT,8.0,HOMEIMPROVEMENT,9600,11.99,0,0.1,N,2
12027,24,78500,MORTGAGE,8.0,VENTURE,6000,7.49,0,0.08,N,4
17315,22,60000,RENT,3.0,EDUCATION,7000,6.91,0,0.12,N,4
4048,23,67450,RENT,8.0,EDUCATION,4000,6.76,0,0.06,N,3
20498,27,40700,MORTGAGE,8.0,EDUCATION,20400,,0,0.5,N,8
27098,27,24840,OWN,0.0,MEDICAL,11500,8.49,0,0.46,N,6
23286,30,27396,RENT,0.0,MEDICAL,5000,,0,0.18,N,5
11326,23,73164,MORTGAGE,7.0,VENTURE,1000,10.36,0,0.01,N,2
259,23,76000,RENT,7.0,DEBTCONSOLIDATION,25000,16.02,1,0.33,N,4
30347,37,14400,RENT,2.0,PERSONAL,6950,7.66,1,0.48,N,13
16954,21,27200,RENT,0.0,EDUCATION,5000,,0,0.18,N,3
10814,24,70000,MORTGAGE,6.0,HOMEIMPROVEMENT,25000,,0,0.36,N,3
5815,23,25200,RENT,1.0,EDUCATION,5500,7.9,0,0.22,N,2
24441,27,72000,OWN,4.0,EDUCATION,8000,11.09,0,0.11,Y,9
23274,28,26400,RENT,7.0,PERSONAL,5000,13.11,1,0.19,Y,6
5045,26,47000,RENT,1.0,EDUCATION,5000,7.14,0,0.11,N,4
7289,24,52000,MORTGAGE,3.0,VENTURE,3500,6.76,0,0.07,N,3
15602,26,150000,MORTGAGE,8.0,MEDICAL,35000,15.96,0,0.23,N,3
23973,27,68000,MORTGAGE,3.0,VENTURE,10800,7.88,0,0.16,N,8
6428,24,40000,RENT,3.0,EDUCATION,6000,6.62,0,0.15,N,3
3537,23,43500,RENT,2.0,PERSONAL,10400,13.49,0,0.24,N,4
8485,24,24000,RENT,0.0,HOMEIMPROVEMENT,7750,17.27,1,0.32,N,3
11931,23,78000,MORTGAGE,7.0,EDUCATION,2400,12.42,0,0.03,N,2
26579,28,31200,RENT,5.0,MEDICAL,15000,11.83,1,0.48,N,9
23438,30,62500,MORTGAGE,8.0,MEDICAL,15000,6.91,0,0.24,N,10
9579,23,62500,MORTGAGE,1.0,MEDICAL,9600,13.22,0,0.15,Y,3
16908,21,44000,RENT,6.0,VENTURE,10000,14.74,0,0.23,Y,3
7136,24,51992,MORTGAGE,9.0,PERSONAL,15000,13.98,0,0.29,N,3
32258,38,67870,MORTGAGE,6.0,MEDICAL,5000,,0,0.07,N,13
24458,29,72500,MORTGAGE,2.0,MEDICAL,7000,13.79,0,0.1,Y,8
2701,26,50000,RENT,1.0,VENTURE,12000,,0,0.24,N,4
24295,33,71000,MORTGAGE,11.0,PERSONAL,6000,14.72,0,0.08,Y,7
11307,26,55000,RENT,7.0,MEDICAL,10000,8.59,0,0.18,N,3
29696,38,20640,RENT,2.0,MEDICAL,3500,12.61,0,0.17,Y,16
4455,24,45840,RENT,2.0,DEBTCONSOLIDATION,4800,7.49,0,0.1,N,2
31444,38,95000,MORTGAGE,5.0,EDUCATION,4000,9.63,0,0.04,N,12
18572,35,66000,RENT,0.0,HOMEIMPROVEMENT,18000,9.99,0,0.27,N,8
12129,25,74000,MORTGAGE,9.0,EDUCATION,18000,7.9,1,0.24,N,2
15888,26,250000,MORTGAGE,10.0,EDUCATION,15000,7.49,0,0.06,N,2
20298,29,34000,MORTGAGE,0.0,MEDICAL,10200,17.27,1,0.3,Y,5
25919,32,17040,RENT,,EDUCATION,2500,7.51,0,0.15,N,10
547,25,19200,OWN,2.0,VENTURE,1000,,0,0.05,N,3
25663,34,77000,MORTGAGE,18.0,EDUCATION,15000,11.14,1,0.19,N,6
19070,28,30000,MORTGAGE,8.0,DEBTCONSOLIDATION,3000,7.29,0,0.1,N,5
11674,24,75000,OWN,2.0,PERSONAL,8500,11.36,0,0.11,N,4
20168,28,29004,RENT,0.0,PERSONAL,4000,16.45,1,0.14,N,10
30509,41,57000,MORTGAGE,11.0,PERSONAL,10000,7.51,0,0.18,N,12
14505,24,108000,OTHER,5.0,EDUCATION,10000,9.7,0,0.09,N,4
30269,36,50000,MORTGAGE,2.0,MEDICAL,16000,13.48,0,0.32,N,15
22753,31,101000,RENT,2.0,EDUCATION,7500,13.22,0,0.07,Y,5
17039,24,24000,RENT,1.0,MEDICAL,8500,7.9,1,0.35,N,2
30092,41,90000,RENT,0.0,VENTURE,5000,14.26,0,0.06,Y,13
14825,24,115500,MORTGAGE,8.0,HOMEIMPROVEMENT,10000,7.75,0,0.09,N,4
11715,22,78000,RENT,3.0,VENTURE,10000,12.42,0,0.13,N,2
24120,32,70000,OWN,12.0,VENTURE,3000,7.49,0,0.04,N,5
2619,24,40000,RENT,1.0,MEDICAL,3000,14.22,0,0.07,N,4
3504,22,75000,RENT,3.0,EDUCATION,10600,10.99,0,0.14,N,3
29639,40,34560,MORTGAGE,3.0,MEDICAL,10000,,0,0.29,N,12
14829,24,115800,MORTGAGE,5.0,PERSONAL,12000,10.99,0,0.1,N,3
10373,21,67000,MORTGAGE,5.0,EDUCATION,25000,15.65,0,0.37,Y,2
13002,23,63719,MORTGAGE,0.0,MEDICAL,3500,7.9,1,0.05,N,3
30727,45,140000,RENT,10.0,EDUCATION,8175,5.99,0,0.06,N,17
1796,23,29120,OWN,0.0,EDUCATION,6400,8.94,0,0.22,N,4
14499,26,108000,MORTGAGE,2.0,MEDICAL,18500,12.18,0,0.17,N,2
27447,29,140000,MORTGAGE,4.0,MEDICAL,24000,7.88,0,0.17,N,5
16665,25,109000,MORTGAGE,5.0,PERSONAL,15000,10.25,0,0.14,N,2
14366,23,105000,MORTGAGE,5.0,EDUCATION,15000,16.82,0,0.14,Y,4
30380,37,89532,RENT,9.0,MEDICAL,6600,12.53,0,0.07,N,12
24008,28,35000,RENT,4.0,PERSONAL,10000,16.77,0,0.29,Y,8
16008,21,15360,RENT,0.0,DEBTCONSOLIDATION,1600,12.69,0,0.1,N,3
12534,23,60000,RENT,2.0,DEBTCONSOLIDATION,12000,12.69,0,0.2,N,2
11942,24,78000,MORTGAGE,0.0,HOMEIMPROVEMENT,5000,6.62,0,0.06,N,4
19617,33,35000,OWN,4.0,VENTURE,10000,8.49,0,0.29,N,5
8696,25,60000,MORTGAGE,9.0,EDUCATION,12000,7.9,0,0.2,N,3
4685,21,42000,MORTGAGE,5.0,EDUCATION,7000,15.23,0,0.17,Y,4
20064,28,55000,RENT,2.0,MEDICAL,3900,11.99,0,0.07,N,10
6505,22,50000,MORTGAGE,6.0,VENTURE,10000,,0,0.2,N,4
31223,36,81000,MORTGAGE,9.0,HOMEIMPROVEMENT,6000,12.99,0,0.07,N,17
25685,32,113000,RENT,5.0,HOMEIMPROVEMENT,12000,16.29,1,0.11,N,5
11243,21,53000,RENT,5.0,EDUCATION,10000,7.51,0,0.19,N,4
7545,21,53876,MORTGAGE,,PERSONAL,2700,14.72,0,0.05,N,4
4097,21,40000,MORTGAGE,5.0,PERSONAL,5000,6.62,0,0.13,N,2
12883,24,75000,RENT,8.0,PERSONAL,12000,,0,0.16,N,4
3418,24,90000,RENT,2.0,EDUCATION,11000,11.14,0,0.12,N,3
31814,38,18720,OWN,22.0,VENTURE,2500,11.86,0,0.13,N,15
23192,28,16000,RENT,2.0,DEBTCONSOLIDATION,5000,16.45,1,0.31,Y,7
18704,30,40000,RENT,8.0,DEBTCONSOLIDATION,16000,11.48,1,0.4,N,8
26096,31,33000,OWN,6.0,DEBTCONSOLIDATION,5000,14.96,0,0.15,N,6
12542,23,65025,MORTGAGE,7.0,MEDICAL,16000,14.35,1,0.21,N,3
2740,24,34000,MORTGAGE,1.0,PERSONAL,5100,14.35,0,0.15,N,4
15118,21,15600,RENT,2.0,EDUCATION,1500,11.86,0,0.1,N,2
17538,25,56000,MORTGAGE,,PERSONAL,5000,5.42,0,0.09,N,4
16250,24,65000,MORTGAGE,3.0,EDUCATION,12000,9.91,0,0.18,N,4
11405,22,74500,MORTGAGE,6.0,VENTURE,8000,15.96,0,0.11,N,3
23842,31,80000,RENT,1.0,MEDICAL,9600,9.91,0,0.12,N,7
15839,25,195054,MORTGAGE,9.0,HOMEIMPROVEMENT,10000,10.59,0,0.05,N,2
28417,28,110000,MORTGAGE,1.0,MEDICAL,12000,8.94,0,0.11,N,7
14652,25,36000,RENT,4.0,VENTURE,15000,9.63,1,0.42,N,3
22694,28,57000,OWN,7.0,PERSONAL,3500,11.83,0,0.06,N,6
15949,23,8000,RENT,0.0,EDUCATION,3250,,1,0.41,N,4
30346,43,175436,RENT,1.0,HOMEIMPROVEMENT,7000,5.99,0,0.04,N,12
12030,23,78500,MORTGAGE,7.0,DEBTCONSOLIDATION,4800,7.14,0,0.06,N,4
29501,44,25209,RENT,6.0,MEDICAL,2000,,0,0.08,Y,13
28964,28,55704,MORTGAGE,12.0,EDUCATION,8400,7.51,0,0.15,N,6
11389,24,54000,RENT,5.0,PERSONAL,10000,10.37,1,0.19,N,2
6186,23,48000,MORTGAGE,3.0,VENTURE,12000,11.36,0,0.25,N,3
12560,22,83000,MORTGAGE,6.0,DEBTCONSOLIDATION,5500,11.99,0,0.07,N,4
18902,28,15000,RENT,0.0,MEDICAL,1800,11.49,0,0.12,N,7
5707,25,46000,MORTGAGE,4.0,EDUCATION,2125,12.99,0,0.05,Y,2
7986,26,21600,RENT,9.0,VENTURE,7200,10.38,1,0.33,N,3
7049,23,24000,RENT,0.0,EDUCATION,6250,12.53,0,0.26,N,3
16145,23,21000,RENT,6.0,EDUCATION,7500,6.91,1,0.36,N,2
21845,32,65000,RENT,4.0,MEDICAL,6000,7.49,0,0.09,N,5
22695,31,54200,RENT,4.0,VENTURE,7500,12.61,0,0.14,N,10
10224,23,55000,RENT,7.0,VENTURE,9600,7.49,0,0.17,N,2
24688,29,75000,MORTGAGE,3.0,PERSONAL,4000,10.75,0,0.05,N,9
2864,23,58800,RENT,7.0,PERSONAL,3000,10.36,1,0.05,N,4
13040,23,63750,MORTGAGE,2.0,MEDICAL,15000,12.87,1,0.2,N,4
14117,26,100000,MORTGAGE,5.0,EDUCATION,24000,10.99,0,0.24,N,4
8867,22,60000,MORTGAGE,3.0,DEBTCONSOLIDATION,15000,7.49,0,0.25,N,4
8398,22,57600,MORTGAGE,6.0,VENTURE,6000,10.74,0,0.1,N,3
24221,28,35000,RENT,5.0,VENTURE,4250,16.96,0,0.12,N,6
5496,22,61000,RENT,3.0,MEDICAL,5000,9.99,0,0.08,N,2
28800,28,48000,RENT,7.0,PERSONAL,4000,14.35,0,0.08,N,10
8139,23,56000,MORTGAGE,7.0,VENTURE,7200,6.03,0,0.13,N,2
18078,33,80000,RENT,0.0,MEDICAL,25000,11.86,1,0.31,N,8
2870,26,65000,RENT,1.0,VENTURE,3000,5.79,0,0.05,N,2
24388,27,72000,MORTGAGE,5.0,MEDICAL,11500,6.91,0,0.16,N,10
3988,23,51996,RENT,7.0,DEBTCONSOLIDATION,4000,13.98,0,0.08,Y,2
22592,29,55000,RENT,6.0,HOMEIMPROVEMENT,7450,15.62,0,0.14,N,8
2350,26,37225,RENT,4.0,PERSONAL,2500,,0,0.07,N,3
22385,27,35520,RENT,1.0,VENTURE,7000,14.91,1,0.2,Y,8
16515,25,38496,MORTGAGE,7.0,HOMEIMPROVEMENT,8000,6.03,0,0.21,N,3
16837,26,55000,MORTGAGE,4.0,PERSONAL,10000,7.51,1,0.18,N,2
5512,24,64151,RENT,0.0,VENTURE,5000,11.86,0,0.08,N,2
32508,53,95000,OWN,24.0,PERSONAL,6000,5.42,0,0.06,N,30
8931,24,48500,RENT,5.0,MEDICAL,8000,15.96,0,0.16,N,3
11262,22,48000,RENT,7.0,DEBTCONSOLIDATION,10000,17.99,1,0.21,Y,4
12915,26,85000,MORTGAGE,10.0,HOMEIMPROVEMENT,4800,11.59,0,0.06,Y,2
5214,25,44400,MORTGAGE,6.0,VENTURE,14125,12.99,0,0.32,N,2
13471,23,92000,MORTGAGE,4.0,EDUCATION,15600,16.35,0,0.17,Y,3
23430,32,62400,MORTGAGE,7.0,DEBTCONSOLIDATION,20000,12.53,0,0.32,N,6
26187,31,98000,OWN,7.0,MEDICAL,5000,15.96,0,0.05,Y,7
26587,35,106800,MORTGAGE,,DEBTCONSOLIDATION,8000,6.92,0,0.07,N,9
29366,40,55000,RENT,14.0,HOMEIMPROVEMENT,18000,7.88,1,0.33,N,14
23330,29,61848,OWN,13.0,VENTURE,5000,10.38,0,0.08,N,10
4003,23,55000,RENT,5.0,PERSONAL,4000,11.86,0,0.07,N,4
18590,33,24000,MORTGAGE,2.0,DEBTCONSOLIDATION,6000,10.25,0,0.25,N,6
22723,29,65000,RENT,5.0,EDUCATION,7500,12.69,0,0.12,N,10
6625,24,50000,MORTGAGE,8.0,EDUCATION,3000,7.66,0,0.06,N,2
10933,22,50000,RENT,7.0,MEDICAL,4250,12.69,0,0.09,N,4
3002,22,30000,RENT,,DEBTCONSOLIDATION,3200,15.62,1,0.11,Y,4
3016,25,42000,RENT,3.0,MEDICAL,3200,15.7,1,0.08,Y,2
17631,22,19200,MORTGAGE,3.0,EDUCATION,5000,15.33,1,0.26,Y,2
734,23,59497,RENT,0.0,MEDICAL,20000,16.0,1,0.29,N,3
23406,34,105000,RENT,0.0,PERSONAL,8000,8.38,0,0.08,N,8
12287,23,80000,MORTGAGE,7.0,PERSONAL,4000,7.51,0,0.05,N,3
14630,24,110000,MORTGAGE,5.0,VENTURE,15000,10.25,0,0.14,N,4
10091,22,65000,MORTGAGE,6.0,VENTURE,17000,8.94,0,0.26,N,2
28428,33,96000,MORTGAGE,0.0,DEBTCONSOLIDATION,8000,13.72,0,0.08,N,5
29770,46,140000,RENT,12.0,VENTURE,3725,,0,0.03,N,17
14814,25,45000,RENT,4.0,DEBTCONSOLIDATION,15000,,1,0.33,N,3
21024,27,42000,RENT,4.0,DEBTCONSOLIDATION,8500,9.99,0,0.2,N,8
30028,41,38200,RENT,4.0,MEDICAL,8875,19.03,0,0.23,N,11
4843,21,42000,OTHER,5.0,DEBTCONSOLIDATION,12000,14.26,0,0.29,Y,4
17476,23,36000,MORTGAGE,6.0,PERSONAL,14000,12.99,0,0.39,N,3
31903,42,316800,MORTGAGE,3.0,PERSONAL,19400,,0,0.06,Y,13
17842,31,73000,RENT,8.0,EDUCATION,35000,19.29,1,0.48,Y,10
19387,35,30000,RENT,2.0,EDUCATION,3000,12.53,0,0.1,Y,5
18229,27,47000,RENT,0.0,DEBTCONSOLIDATION,24000,17.14,1,0.51,N,5
16481,23,28800,MORTGAGE,6.0,MEDICAL,5000,11.99,0,0.17,N,4
23117,32,55000,RENT,0.0,PERSONAL,8000,10.0,0,0.15,N,9
31244,39,54000,RENT,4.0,DEBTCONSOLIDATION,12000,14.22,1,0.22,Y,12
6634,25,50000,MORTGAGE,9.0,HOMEIMPROVEMENT,8000,10.0,0,0.16,N,2
14723,26,34988,RENT,9.0,HOMEIMPROVEMENT,15000,13.98,1,0.43,N,2
11644,26,72000,RENT,0.0,DEBTCONSOLIDATION,10000,5.79,0,0.14,N,3
4785,24,36000,MORTGAGE,8.0,HOMEIMPROVEMENT,6000,7.14,1,0.17,N,4
18780,27,51298,RENT,11.0,DEBTCONSOLIDATION,1000,10.37,0,0.02,N,7
8029,24,49000,MORTGAGE,0.0,MEDICAL,5000,12.18,1,0.1,N,3
7071,23,51036,MORTGAGE,7.0,EDUCATION,15000,13.16,0,0.29,N,4
24470,27,55000,RENT,11.0,EDUCATION,10000,14.27,0,0.18,N,7
20097,27,38000,MORTGAGE,11.0,DEBTCONSOLIDATION,5000,9.76,0,0.13,N,5
12238,22,32500,RENT,0.0,MEDICAL,12000,11.49,1,0.37,N,2
31743,40,132000,MORTGAGE,7.0,HOMEIMPROVEMENT,7500,7.29,0,0.06,N,15
6325,24,43000,MORTGAGE,8.0,DEBTCONSOLIDATION,10000,16.89,1,0.23,Y,2
28879,28,82500,RENT,4.0,VENTURE,11000,16.35,0,0.13,N,8
4471,24,40800,OWN,0.0,VENTURE,14400,14.35,0,0.35,N,2
30022,47,86000,RENT,0.0,HOMEIMPROVEMENT,9000,12.87,1,0.1,N,13
8516,22,58000,OTHER,3.0,DEBTCONSOLIDATION,15000,13.79,0,0.26,Y,4
6550,24,41628,RENT,6.0,DEBTCONSOLIDATION,6000,11.28,1,0.14,Y,2
7934,23,55000,MORTGAGE,5.0,PERSONAL,15000,6.17,0,0.27,N,2
22320,29,54000,MORTGAGE,9.0,DEBTCONSOLIDATION,12000,9.32,0,0.22,N,7
24589,28,75000,MORTGAGE,5.0,MEDICAL,16800,6.03,0,0.22,N,8
26014,27,55000,RENT,11.0,DEBTCONSOLIDATION,13000,8.88,0,0.24,N,6
27582,28,150000,MORTGAGE,4.0,EDUCATION,20000,,0,0.13,N,8
31896,45,89000,RENT,5.0,PERSONAL,19200,,0,0.22,N,12
27186,29,125000,MORTGAGE,6.0,HOMEIMPROVEMENT,6400,12.87,0,0.05,Y,9
7438,24,56000,RENT,2.0,VENTURE,6650,12.69,0,0.12,N,2
1580,21,35000,RENT,3.0,EDUCATION,1500,5.79,0,0.04,N,2
28766,27,98004,RENT,8.0,VENTURE,10000,6.54,0,0.1,N,7
1911,22,50400,RENT,3.0,VENTURE,2000,,0,0.04,N,4
10235,26,66000,MORTGAGE,7.0,PERSONAL,4000,11.99,0,0.06,N,2
91,26,73200,RENT,5.0,VENTURE,27050,15.62,1,0.37,Y,2
8552,25,58750,MORTGAGE,6.0,HOMEIMPROVEMENT,6000,15.33,0,0.1,Y,3
21184,33,85000,RENT,11.0,EDUCATION,5000,7.9,0,0.06,N,8
188,24,60000,RENT,2.0,DEBTCONSOLIDATION,25000,,1,0.42,Y,2
29153,41,268000,MORTGAGE,0.0,PERSONAL,24000,10.37,0,0.09,N,11
26019,28,95000,MORTGAGE,12.0,EDUCATION,35000,9.63,0,0.37,N,5
12250,25,80000,MORTGAGE,9.0,DEBTCONSOLIDATION,13000,6.54,0,0.16,N,3
27466,32,140000,MORTGAGE,16.0,VENTURE,25000,10.08,0,0.18,N,7
26812,32,86700,MORTGAGE,16.0,MEDICAL,20000,14.74,1,0.2,N,9
14137,22,100000,MORTGAGE,0.0,DEBTCONSOLIDATION,20000,11.83,0,0.2,N,2
26377,28,100000,MORTGAGE,4.0,VENTURE,20000,11.48,0,0.2,N,5
19983,27,35000,RENT,5.0,MEDICAL,10375,14.27,0,0.3,N,5
25050,28,80000,MORTGAGE,6.0,HOMEIMPROVEMENT,4400,,0,0.06,N,5
321,24,120000,RENT,8.0,EDUCATION,25000,10.65,0,0.21,N,4
17829,23,117696,MORTGAGE,2.0,MEDICAL,15000,6.03,0,0.13,N,4
28388,28,50400,RENT,8.0,EDUCATION,18500,16.02,1,0.37,N,5
9331,24,62000,RENT,3.0,VENTURE,8000,11.14,0,0.13,N,4
4740,26,30000,RENT,11.0,MEDICAL,5000,,0,0.17,N,2
24624,29,64500,RENT,5.0,MEDICAL,10000,8.94,0,0.16,N,7
31400,37,79992,MORTGAGE,2.0,PERSONAL,9000,,1,0.11,Y,14
4291,23,27864,RENT,0.0,MEDICAL,4600,6.03,0,0.17,N,3
15666,26,138000,MORTGAGE,4.0,EDUCATION,18000,16.4,1,0.13,N,3
22875,27,24000,RENT,3.0,PERSONAL,8000,,1,0.33,N,8
16677,22,60000,MORTGAGE,6.0,MEDICAL,6125,6.17,0,0.1,N,2
5533,23,45000,MORTGAGE,4.0,EDUCATION,9925,11.48,0,0.22,N,2
194,25,69000,RENT,9.0,PERSONAL,25000,17.49,1,0.36,N,2
7325,22,52000,MORTGAGE,0.0,EDUCATION,6400,11.34,0,0.12,Y,4
2830,21,57000,RENT,3.0,PERSONAL,3000,5.42,0,0.05,N,3
31934,47,48000,RENT,14.0,DEBTCONSOLIDATION,2500,14.65,0,0.05,Y,17
20018,35,85000,RENT,1.0,DEBTCONSOLIDATION,3600,7.51,0,0.04,N,6
6069,26,48000,MORTGAGE,9.0,PERSONAL,8000,10.59,0,0.17,N,4
13793,23,33000,OWN,5.0,VENTURE,3600,11.58,0,0.11,N,4
2516,23,19200,RENT,0.0,PERSONAL,3000,9.99,1,0.16,N,3
26749,32,37000,RENT,1.0,MEDICAL,15000,9.62,1,0.41,N,10
11508,24,75000,OWN,8.0,HOMEIMPROVEMENT,29800,,0,0.4,N,4
19666,30,43000,RENT,1.0,MEDICAL,3200,8.0,0,0.07,N,5
23077,30,54000,MORTGAGE,3.0,EDUCATION,5000,12.61,1,0.09,Y,10
3930,22,42996,RENT,3.0,EDUCATION,4000,,0,0.09,N,4
15865,26,204000,MORTGAGE,10.0,MEDICAL,15250,14.35,0,0.07,N,3
756,22,62900,RENT,6.0,MEDICAL,20000,14.91,1,0.27,N,4
31698,36,124000,MORTGAGE,2.0,DEBTCONSOLIDATION,2000,12.99,0,0.02,Y,16
22026,33,51888,MORTGAGE,13.0,PERSONAL,7000,13.98,0,0.13,N,10
32026,37,22800,OWN,18.0,EDUCATION,7000,6.03,0,0.31,N,12
17410,23,112800,MORTGAGE,3.0,EDUCATION,35000,,0,0.31,N,2
9976,23,65000,MORTGAGE,1.0,PERSONAL,10800,10.0,0,0.17,N,4
26253,28,62400,RENT,2.0,VENTURE,14000,10.99,0,0.22,N,10
16046,22,60000,MORTGAGE,6.0,DEBTCONSOLIDATION,3950,10.65,0,0.07,N,4
8880,23,39000,RENT,3.0,HOMEIMPROVEMENT,8000,11.36,1,0.21,N,3
23459,34,32758,RENT,0.0,DEBTCONSOLIDATION,8400,14.96,1,0.26,N,5
6245,22,30000,RENT,2.0,PERSONAL,6000,12.42,0,0.2,N,4
22461,30,85000,RENT,14.0,PERSONAL,7000,10.65,0,0.08,N,9
11782,23,84000,RENT,7.0,DEBTCONSOLIDATION,10000,5.99,0,0.12,N,2
8344,23,57000,OWN,7.0,EDUCATION,4200,10.51,0,0.07,N,3
1747,24,28900,MORTGAGE,2.0,DEBTCONSOLIDATION,5500,12.98,0,0.19,Y,2
18826,35,27204,MORTGAGE,16.0,PERSONAL,1800,7.74,0,0.07,N,7
23319,27,66000,RENT,2.0,EDUCATION,8000,14.79,0,0.12,Y,7
28775,31,24000,RENT,3.0,EDUCATION,6000,8.49,0,0.25,N,5
